University,Author Name,Author URL
ABDULLAH GÜL ÜNİVERSİTESİ,İhsan Sabuncuoğlu,https://scholar.google.com/citations?view_op=medium_photo&user=Xg-PmeMAAAAJ
ABDULLAH GÜL ÜNİVERSİTESİ,orhan demirci,https://scholar.google.com/citations?view_op=medium_photo&user=cXoMhXwAAAAJ
ABDULLAH GÜL ÜNİVERSİTESİ,Ismail Alper Isoglu,https://scholar.google.com/citations?view_op=medium_photo&user=BzvemX0AAAAJ
ABDULLAH GÜL ÜNİVERSİTESİ,İrfan Alan,https://scholar.google.com/citations?view_op=medium_photo&user=SN1YydgAAAAJ
ABDULLAH GÜL ÜNİVERSİTESİ,Mehmet Ozdemir,https://scholar.google.com/citations?view_op=medium_photo&user=G4R48UYAAAAJ
ABDULLAH GÜL ÜNİVERSİTESİ,Müşerref Duygu Saçar Demirci,https://scholar.google.com/citations?view_op=medium_photo&user=dlapiW8AAAAJ
ABDULLAH GÜL ÜNİVERSİTESİ,Dr. Mehmet Nurettin Alabay,https://scholar.google.com/citations?view_op=medium_photo&user=JMyUKPoAAAAJ
ABDULLAH GÜL ÜNİVERSİTESİ,Özgür Balkılıç,https://scholar.google.com/citations?view_op=medium_photo&user=eWNLHSUAAAAJ
ABDULLAH GÜL ÜNİVERSİTESİ,Ali Ersin Dinçer,https://scholar.google.com/citations?view_op=medium_photo&user=1oZXtxEAAAAJ
ABDULLAH GÜL ÜNİVERSİTESİ,Serhat Özer,https://scholar.google.com/citations?view_op=medium_photo&user=DRtykdcAAAAJ
ABDULLAH GÜL ÜNİVERSİTESİ,Assoc. Prof. Dilek ŞENOL ARSLAN,https://scholar.google.com/citations?view_op=medium_photo&user=n5ex0PsAAAAJ
ABDULLAH GÜL ÜNİVERSİTESİ,Hatice Taş,https://scholar.google.com/citations?view_op=medium_photo&user=wMn6uG8AAAAJ
ABDULLAH GÜL ÜNİVERSİTESİ,Oznur Oncul-Demir,https://scholar.google.com/citations?view_op=medium_photo&user=aD1ci_oAAAAJ
ABDULLAH GÜL ÜNİVERSİTESİ,Kübra ŞIK,https://scholar.google.com/citations?view_op=medium_photo&user=s23X7XgAAAAJ
ABDULLAH GÜL ÜNİVERSİTESİ,Sedat Gülçimen,https://scholar.google.com/citations?view_op=medium_photo&user=Dj-l3WYAAAAJ
ABDULLAH GÜL ÜNİVERSİTESİ,sema karabel öcal,https://scholar.google.com/citations?view_op=medium_photo&user=eeb4ErsAAAAJ
ABDULLAH GÜL ÜNİVERSİTESİ,Dr. Bülent Çizmeci,https://scholar.google.com/citations?view_op=medium_photo&user=2-iA9F4AAAAJ
ABDULLAH GÜL ÜNİVERSİTESİ,ismet söylemez,https://scholar.google.com/citations?view_op=medium_photo&user=qBmEawMAAAAJ
ABDULLAH GÜL ÜNİVERSİTESİ,Mithat Gökhan Atahan,https://scholar.google.com/citations?view_op=medium_photo&user=mO8JUwEAAAAJ
ABDULLAH GÜL ÜNİVERSİTESİ,Ahmet Kayasandık,https://scholar.google.com/citations?view_op=medium_photo&user=xF352nsAAAAJ
ABDULLAH GÜL ÜNİVERSİTESİ,Doç. Dr. Murat Karataş,https://scholar.google.com/citations?view_op=medium_photo&user=X-6AiywAAAAJ
ABDULLAH GÜL ÜNİVERSİTESİ,Derya DINCYUREK EKICI,https://scholar.google.com/citations?view_op=medium_photo&user=6rm6muIAAAAJ
ABDULLAH GÜL ÜNİVERSİTESİ,Seray Zora-Tarhan,https://scholar.google.com/citations?view_op=medium_photo&user=iocb62QAAAAJ
ABDULLAH GÜL ÜNİVERSİTESİ,Nurettin Ayvali,https://scholar.google.com/citations?view_op=medium_photo&user=HbUwlNEAAAAJ
ABDULLAH GÜL ÜNİVERSİTESİ,Vasfiye Mencik,https://scholar.google.com/citations?view_op=medium_photo&user=yPZeFzMAAAAJ
ABDULLAH GÜL ÜNİVERSİTESİ,FATMA ÇELEBİ,https://scholar.google.com/citations?view_op=medium_photo&user=DtOsJFsAAAAJ
ABDULLAH GÜL ÜNİVERSİTESİ,Hakan TOR,https://scholar.google.com/citations?view_op=medium_photo&user=oaWzplQAAAAJ
ABDULLAH GÜL ÜNİVERSİTESİ,Abdullah Dogan,https://scholar.google.com/citations?view_op=medium_photo&user=dBCaY0cAAAAJ
ABDULLAH GÜL ÜNİVERSİTESİ,Dr. Öğr. Üyesi Abdullah GÜL,https://scholar.google.com/citations?view_op=medium_photo&user=Uec_AFIAAAAJ
ABDULLAH GÜL ÜNİVERSİTESİ,Ayse Gul,https://scholar.google.com/citations?view_op=medium_photo&user=0Ig1g48AAAAJ
ABDULLAH GÜL ÜNİVERSİTESİ,Ahmet Baş,https://scholar.google.com/citations?view_op=medium_photo&user=c4PpP-0AAAAJ
ABDULLAH GÜL ÜNİVERSİTESİ,Abdullah çolak,https://scholar.google.com/citations?view_op=medium_photo&user=f2idXBcAAAAJ
ABDULLAH GÜL ÜNİVERSİTESİ,Refika Sultan DOĞAN,https://scholar.google.com/citations?view_op=medium_photo&user=ixu2dq4AAAAJ
ABDULLAH GÜL ÜNİVERSİTESİ,Mirac Alper BÜYÜKTÜRK,https://scholar.google.com/citations?view_op=medium_photo&user=S_QeApgAAAAJ
ABDULLAH GÜL ÜNİVERSİTESİ,dogan dogan,https://scholar.google.com/citations?view_op=medium_photo&user=fxMcwE4AAAAJ
ABDULLAH GÜL ÜNİVERSİTESİ,Murat İnan,https://scholar.google.com/citations?view_op=medium_photo&user=3khypd0AAAAJ
ABDULLAH GÜL ÜNİVERSİTESİ,Edanur Kılıç,https://scholar.google.com/citations?view_op=medium_photo&user=E9fmfm4AAAAJ
ABDULLAH GÜL ÜNİVERSİTESİ,Ahmet Furkan Haçan,https://scholar.google.com/citations?view_op=medium_photo&user=lQ7sEPsAAAAJ
ABDULLAH GÜL ÜNİVERSİTESİ,Gökmen KARA,https://scholar.google.com/citations?view_op=medium_photo&user=LzP8tDEyQW4C
ABDULLAH GÜL ÜNİVERSİTESİ,Hediye Yorulmaz,https://scholar.google.com/citations?view_op=medium_photo&user=xoogEoQAAAAJ
ABDULLAH GÜL ÜNİVERSİTESİ,Vacide Betül Kurtuluş,https://scholar.google.com/citations?view_op=medium_photo&user=kL5ckqsAAAAJ
ABDULLAH GÜL ÜNİVERSİTESİ,Ömer Devrim Aksoyak,https://scholar.google.com/citations?view_op=medium_photo&user=EiDPSKIAAAAJ
ABDULLAH GÜL ÜNİVERSİTESİ,Rabia Nur Kartal,https://scholar.google.com/citations?view_op=medium_photo&user=h41UCDcAAAAJ
ABDULLAH GÜL ÜNİVERSİTESİ,Ertuğrul Ateş,https://scholar.google.com/citations?view_op=medium_photo&user=U7fEgLoAAAAJ
ABDULLAH GÜL ÜNİVERSİTESİ,Kübra Erol,https://scholar.google.com/citations?view_op=medium_photo&user=QEP5bpcAAAAJ
ABDULLAH GÜL ÜNİVERSİTESİ,osman oğuz,https://scholar.google.com/citations?view_op=medium_photo&user=HymHSDsAAAAJ
ABDULLAH GÜL ÜNİVERSİTESİ,Bahar Elagöz Timur,https://scholar.google.com/citations?view_op=medium_photo&user=G7b7fqYAAAAJ
ABDULLAH GÜL ÜNİVERSİTESİ,Eren Yağmur,https://scholar.google.com/citations?view_op=medium_photo&user=qQyMG0QAAAAJ
ABDULLAH GÜL ÜNİVERSİTESİ,Zeynep  Şenel,https://scholar.google.com/citations?view_op=medium_photo&user=NviG5wYAAAAJ
ABDULLAH GÜL ÜNİVERSİTESİ,Ömer Faruk Ünlüsoy,https://scholar.google.com/citations?view_op=medium_photo&user=oeKMNScAAAAJ
ABDULLAH GÜL ÜNİVERSİTESİ,ZEYNEP MURAT,https://scholar.google.com/citations?view_op=medium_photo&user=IMYtAsMAAAAJ
ABDULLAH GÜL ÜNİVERSİTESİ,Hasan Can Demirci,https://scholar.google.com/citations?view_op=medium_photo&user=4t2n9eUAAAAJ
ABDULLAH GÜL ÜNİVERSİTESİ,Abdullah Oran,https://scholar.google.com/citations?view_op=medium_photo&user=tudzTK0AAAAJ
ABDULLAH GÜL ÜNİVERSİTESİ,Nihan Muş Özmen,https://scholar.google.com/citations?view_op=medium_photo&user=SskHPOAAAAAJ
ABDULLAH GÜL ÜNİVERSİTESİ,Mehmet şimşek,https://scholar.google.com/citations?view_op=medium_photo&user=N0OjazcAAAAJ
ABDULLAH GÜL ÜNİVERSİTESİ,Rana Torun,https://scholar.google.com/citations?view_op=medium_photo&user=vK5Xo0QAAAAJ
ABDULLAH GÜL ÜNİVERSİTESİ,Mehmet Emin TAMAR,https://scholar.google.com/citations?view_op=medium_photo&user=hpIgdIkAAAAJ
ABDULLAH GÜL ÜNİVERSİTESİ,Gülsüm DURAN GÜLER,https://scholar.google.com/citations?view_op=medium_photo&user=IsHINJ4AAAAJ
ABDULLAH GÜL ÜNİVERSİTESİ,Dr.Hüseyin Gazi Sönmez,https://scholar.google.com/citations?view_op=medium_photo&user=ZQwW73MAAAAJ
ABDULLAH GÜL ÜNİVERSİTESİ,Volkan Özden,https://scholar.google.com/citations?view_op=medium_photo&user=LCuGBIoAAAAJ
ABDULLAH GÜL ÜNİVERSİTESİ,Mehmet Eren Nalici,https://scholar.google.com/citations?view_op=medium_photo&user=HL0JLS8AAAAJ
ABDULLAH GÜL ÜNİVERSİTESİ,Dr. Hüseyin Gazi Sönmez,https://scholar.google.com/citations?view_op=medium_photo&user=JLwpGkkAAAAJ
ABDULLAH GÜL ÜNİVERSİTESİ,Dilber Akcan,https://scholar.google.com/citations?view_op=medium_photo&user=TErSV5kAAAAJ
ABDULLAH GÜL ÜNİVERSİTESİ,Fulya Özgün,https://scholar.google.com/citations?view_op=medium_photo&user=S1K2v3gAAAAJ
ABDULLAH GÜL ÜNİVERSİTESİ,İlinur Can,https://scholar.google.com/citations?view_op=medium_photo&user=A4vwzdQAAAAJ
ABDULLAH GÜL ÜNİVERSİTESİ,Emre Artut,https://scholar.google.com/citations?view_op=medium_photo&user=W86GkZoAAAAJ
ABDULLAH GÜL ÜNİVERSİTESİ,Yavuz Karaburun,https://scholar.google.com/citations?view_op=medium_photo&user=1qxTt0IAAAAJ
ABDULLAH GÜL ÜNİVERSİTESİ,Seda Benli Kaynak,https://scholar.google.com/citations?view_op=medium_photo&user=5kXe2gwAAAAJ
ABDULLAH GÜL ÜNİVERSİTESİ,Melike Gale,https://scholar.google.com/citations?view_op=medium_photo&user=oHv1CiIAAAAJ
ABDULLAH GÜL ÜNİVERSİTESİ,Mustafa Semih Peker,https://scholar.google.com/citations?view_op=medium_photo&user=zd2VvM0AAAAJ
ÖZYEĞİN ÜNİVERSİTESİ,Taylan Akdogan,https://scholar.google.com/citations?view_op=medium_photo&user=3aj-sGUAAAAJ
ÖZYEĞİN ÜNİVERSİTESİ,Ethem Alpaydin,https://scholar.google.com/citations?view_op=medium_photo&user=lXYKgiYAAAAJ
ÖZYEĞİN ÜNİVERSİTESİ,M. Pinar Menguc,https://scholar.google.com/citations?view_op=medium_photo&user=hVpo9CMAAAAJ
ÖZYEĞİN ÜNİVERSİTESİ,M. Reha Civanlar,https://scholar.google.com/citations?view_op=medium_photo&user=6yMIP8AAAAAJ
ÖZYEĞİN ÜNİVERSİTESİ,Ali C. Begen,https://scholar.google.com/citations?view_op=medium_photo&user=ZIZWsXoAAAAJ
ÖZYEĞİN ÜNİVERSİTESİ,Goksen Goksenin Yaralioglu,https://scholar.google.com/citations?view_op=medium_photo&user=g8o-0E8AAAAJ
ÖZYEĞİN ÜNİVERSİTESİ,Burcu Balcik,https://scholar.google.com/citations?view_op=medium_photo&user=jnZEVg8AAAAJ
